"","name","type","lon","lat","address","zip"
"225","Chur - Calandapark","mm",9.5136033,46.8461969,"Pargherastrasse 1-3","7000"
"226","Chur - Gäuggeli","mm",9.5275536,46.8515396,"Gäuggelistrasse 28","7000"
"227","Chur - Kalchbühl","fm",9.5105226,46.8466009,"Kalchbühlstrasse 16","7000"
"228","Chur - Ringstrasse","m",9.5207396,46.8577894,"Ringstrasse 91","7000"
"229","Chur - West","soca",9.5344566,46.8731603,"Stellenweg 6","7000"
"230","Chur Masans","m",9.5346776,46.8717233,"Masanserstrasse 240","7000"
"231","Chur-Ost","soca",9.5339975,46.8729209,"Deutsche Strasse 5","7000"
"232","Churwalden","m",9.543758,46.7779744,"Hauptstrasse 146","7075"
"233","Châtel-St-Denis","mm",6.9048889,46.5237831,"Rte de Montreux 56","1618"
"234","Chêne-Bougeries","shell",6.1865501,46.2033483,"Ch. de la Gradelle 40","1224"
"235","Chêne-Bourg","mm",6.1943164,46.1963267,"Avenue de Bel-Air 12","1225"
"236","Clarens - Centre","m",6.8934821,46.4412673,"Rue du Léman 9","1815"
"237","Cointrin","mgls",6.1073222,46.2253308,"Av. Louis-Casaï 74/76","1216"
"238","Coldrerio-Paese","pica",8.9853133,45.8577734,"Via S. Gottardo 37","6877"
"239","Collombey","mm",6.9566145,46.2652306,"Entre-deux-Fossaux","1868"
"240","Collombey","mgls",6.9531105,46.2672488,"Pré du Pont 103","1868"
"241","Collonge-Bellerive - Vésenaz","mm",6.1995331,46.2409626,"Route de Thonon 55","1245"
"242","Colombier","m",6.8517986,46.9672459,"Avenue de la Gare 16","2013"
"243","Conthey","mgls",7.3014206,46.2245292,"Route Cantonale 25","1964"
"244","Conthey - Forum des Alpes","mmm",7.3009436,46.2235391,"Route des Rottes 15","1964"
"245","Cortaillod","m",6.8429599,46.9442979,"Chemin de Ronzi 2","2016"
"246","Cossonay","m",6.5066553,46.6137634,"Route des Chavannes 1","1304"
"247","Courtepin","m",7.1201102,46.8656187,"Route de l'Industrie 25","1784"
"248","Crans-Montana","m",7.4732188,46.3094446,"Route du Rawyl 32","3963"
"249","Crissier","mmm",6.5690604,46.5543608,"Chemin du Closalet 7","1023"
"250","Crocifisso di Savosa","m",8.9413299,46.0164918,"Via San Gottardo 150","6942"
"251","Cugy","m",6.6414782,46.5877538,"Route de Bottens 1","1053"
"252","D+G Losone","fm",8.7715623,46.1667017,"Via dei Pioppi 2A","6616"
"253","Daily Biel","mr",7.2457052,47.1357037,"Bahnhofstrasse 38","2502"
"254","Daily Zürich-Zollstrasse","m",8.5369492,47.3798176,"Zollstrasse 6","8005"
"255","Davos - Rätia","m",9.8213178,46.7936512,"Promenade 40","7270"
"256","Davos Dorf","mig",9.8419154,46.8096852,"Bahnhofstrasse","7260"
"257","Davos Symondpark","mm",9.8327029,46.8015209,"Promenade 105","7270"
"258","Davos-Dorf","m",9.8382834,46.8073239,"Promenade 146","7260"
"259","Degersheim","m",9.1965728,47.3724798,"Hauptstrasse 81","9113"
"260","Delémont","mm",7.34649,47.3635367,"Rue de la Maltière 12","2800"
"261","Delémont - MParc","fm",7.3568451,47.3613406,"Rue Emile-Boéchat 79","2800"
"262","Derendingen","m",7.5836013,47.1974163,"Hauptstrasse 22","4552"
"263","Dielsdorf","mm",8.4644704,47.4807739,"Ruchwiesenstrasse 2","8157"
"264","Dielsdorf","mgls",8.4516463,47.4859688,"Wehntalerstrasse 4","8157"
"265","Dielsdorf","mgls",8.46472,47.4813293,"Ruchwiesenstrasse 1","8157"
"266","Diepoldsau","m",9.6562685,47.3857976,"Hintere Kirchstrasse 1","9444"
"267","Dierikon Outlet","spez",8.3630434,47.0954723,"Industriestrasse 1","6036"
"268","Diessenhofen","m",8.7521372,47.6859558,"Bahnhofstrasse 15","8253"
"269","Dietikon - Bernstrasse","mgls",8.3956104,47.3841388,"Bernstrasse 386","8953"
"270","Dietikon - Limmatfeld","m",8.4051555,47.4090317,"Uberlandstrasse 22","8953"
"271","Dietikon - Löwenzentrum","mm",8.4018695,47.4051079,"Löwenstrasse 28","8953"
"272","Dietlikon","shell",8.620246,47.4147399,"Neue Winterthurerstrasse 15","8305"
"273","Dietlikon - Brunnenwiese","m",8.6216426,47.4191512,"Pappelstrasse 2","8305"
"274","Domat-Ems","m",9.4653889,46.8372082,"Via La Val 1","7013"
"275","Domdidier","m",7.0092891,46.8653776,"Grand-Rhain 54","1564"
"276","Dornach","m",7.6119786,47.4881024,"Wollmattweg 7","4143"
"277","Däniken","shell",7.9825917,47.3564228,"Hauptstrasse 58","4658"
"278","Döttingen","m",8.2560765,47.5742916,"Hauptstrasse 17","5312"
"279","Dübendorf","mm",8.6176152,47.3982605,"Unterdorfstrasse 7","8600"
"280","Dübendorf","mig",8.6234613,47.3999075,"Bettlistrasse 3","8600"
"281","Dübendorf - Bühlwiesen","soca",8.6051913,47.3983776,"Ringstrasse 17","8600"
"282","Dübendorf - Hochbord Nord","fm",8.6033991,47.4012381,"Neugutstrasse 83","8600"
"283","Dübendorf - Im Giessen","shell",8.6074055,47.4032249,"Ueberlandstrasse 97","8600"
"284","Dübendorf - Sonnental","shell",8.6060292,47.3954996,"Zürcherstrasse 89","8600"
"285","Dübendorf - Zur Schmiede","soca",8.6231363,47.3963241,"Usterstrasse 44","8600"
"286","Düdingen","mm",7.19207,46.8469871,"Käsereistrasse 3","3186"
"287","Ebikon - Ladengasse","mm",8.3408568,47.0811001,"Zentralstrasse 16","6030"
"288","Ebikon - Mall of Switzerland","mmm",8.3588978,47.0939482,"Ebisquare-Strasse 1","6030"
"289","Ebmatingen","m",8.6432014,47.350978,"Zürichstrasse 108","8123"
"290","Ebnat-Kappel","m",9.1197808,47.2664736,"Kapplerstrasse 16","9642"
"291","Echallens","mm",6.6360482,46.6388941,"Rue de Praz-Palud 2","1040"
"292","Ecublens - Croset","mm",6.5649077,46.5345194,"chemin du Croset 7","1024"
"293","Ecublens - EPFL","m",6.5645584,46.5230466,"Louis Favre 8A","1024"
"294","Effretikon","soca",8.6871464,47.4296167,"Rikonerstrasse 20","8307"
"295","Effretikon","mig",8.6864773,47.4258578,"Bahnhofstrasse 20","8307"
"296","Effretikon - Effi-Märt","mm",8.6857324,47.4281027,"Märtplatz 5","8307"
"297","Egerkingen - Gäupark","mm",7.8021889,47.3176513,"Hausimollstrasse 1","4622"
