"","name","type","lon","lat","address","zip"
"221","Dietlikon","shell",8.620246,47.4147399,"Neue Winterthurerstrasse 15","8305"
"222","Dietlikon - Brunnenwiese","m",8.6216426,47.4191512,"Pappelstrasse 2","8305"
"223","Domat-Ems","m",9.4653889,46.8372082,"Via La Val 1","7013"
"224","Domdidier","m",7.0092891,46.8653776,"Grand-Rhain 54","1564"
"225","Dornach","m",7.6119786,47.4881024,"Wollmattweg 7","4143"
"226","Däniken","shell",7.9825917,47.3564228,"Hauptstrasse 58","4658"
"227","Döttingen","m",8.2560765,47.5742916,"Hauptstrasse 17","5312"
"228","Dübendorf","mm",8.6176152,47.3982605,"Unterdorfstrasse 7","8600"
"229","Dübendorf","mig",8.6234613,47.3999075,"Bettlistrasse 3","8600"
"230","Dübendorf - Bühlwiesen","soca",8.6051913,47.3983776,"Ringstrasse 17","8600"
"231","Dübendorf - Im Giessen","shell",8.6074055,47.4032249,"Ueberlandstrasse 97","8600"
"232","Dübendorf - Sonnental","shell",8.6060292,47.3954996,"Zürcherstrasse 89","8600"
"233","Dübendorf - Zur Schmiede","soca",8.6231363,47.3963241,"Usterstrasse 44","8600"
"234","Düdingen","mm",7.19207,46.8469871,"Käsereistrasse 3","3186"
"235","Ebikon - Ladengasse","mm",8.3408568,47.0811001,"Zentralstrasse 16","6030"
"236","Ebikon - Mall of Switzerland","mmm",8.3588978,47.0939482,"Ebisquare-Strasse 1","6030"
"237","Ebmatingen","m",8.6432014,47.350978,"Zürichstrasse 108","8123"
"238","Ebnat-Kappel","m",9.1197808,47.2664736,"Kapplerstrasse 16","9642"
"239","Echallens","mm",6.6360482,46.6388941,"Rue de Praz-Palud 2","1040"
"240","Ecublens - Croset","mm",6.5649077,46.5345194,"chemin du Croset 7","1024"
"241","Ecublens - EPFL","m",6.5645584,46.5230466,"Louis Favre 8A","1024"
"242","Effretikon","soca",8.6871464,47.4296167,"Rikonerstrasse 20","8307"
"243","Effretikon","mig",8.6864773,47.4258578,"Bahnhofstrasse 20","8307"
"244","Effretikon - Effi-Märt","mm",8.6857324,47.4281027,"Märtplatz 5","8307"
"245","Egerkingen - Gäupark","mm",7.8021889,47.3176513,"Hausimollstrasse 1","4622"
"246","Egg","mm",8.6920507,47.3028535,"Gewerbestrasse 2-10","8132"
"247","Eglisau","shell",8.5159717,47.5808035,"Schaffhauserstrasse 39","8193"
"248","Eglisau-Nord","m",8.5139362,47.5792535,"Bauelenzelgstrasse 16","8193"
"249","Egnach","mgls",9.371741,47.5490761,"Romanshornerstr. 129","9322"
"250","Egolzwil - Schötz","m",7.9838253,47.1826526,"Grosmatt 1","6243"
"251","Einsiedeln","mm",8.7459076,47.1287061,"Eisenbahnstrasse 2","8840"
"252","Einsiedeln","mig",8.7441361,47.1279567,"Bahnhofplatz 1","8840"
"253","Elgg","m",8.8617399,47.4983247,"St. Gallerstrasse 16","8353"
"254","Embrach","mm",8.5917376,47.5101139,"Bülacherstrasse 17","8424"
"255","Emmen - Kapf","m",8.2738074,47.0898808,"Kapfstrasse 3","6020"
"256","Emmen - Wohncenter","mm",8.2930347,47.0737906,"Seetalstrasse 50","6020"
"257","Emmenbrücke","mgls",8.2792234,47.0724171,"Gerliswilstrasse 24","6020"
"258","Emmenbrücke - Sonnenplatz","mm",8.2752688,47.0779516,"Sonnenplatz 1","6020"
"259","Engelberg","m",8.4057173,46.8207122,"Klosterstrasse 5","6390"
"260","Epalinges","mm",6.6708585,46.5485622,"Place de la Croix-Blanche 11","1066"
"261","Erlenbach - Erlibacher Märt","m",8.5904643,47.3070068,"Bahnhofstrasse 42","8703"
"262","Erlinsbach","m",8.0084956,47.4053477,"Zentrum Rössli","5018"
"263","Erstfeld","m",8.6500662,46.8251526,"Gotthardstrasse 144","6472"
"264","Eschenbach","m",8.92332,47.2408601,"Rickenstrasse 12","8733"
"265","Estavayer-le-Lac","mm",6.8513418,46.847963,"Route de la Chapelle 24","1470"
"266","Etoy","m",6.4259736,46.4737122,"Route Suisse 26","1163"
"267","Etoy","mgls",6.4185074,46.474662,"Rte Noyer Girod 1","1163"
"268","Etrembières (F)","mmm",6.2322629,46.1810413,"CC Shopping-Etrembières","74112"
"269","Ettingen","mm",7.5468089,47.4844491,"Therwilerstrasse 9","4107"
"270","Fahrwangen","m",8.2432889,47.2942089,"Hintergasse 12","5615"
"271","Fahrweid - Limmatbrücke","shell",8.4112031,47.4069007,"Uberlandstrasse","8951"
"272","Faido","m",8.7997979,46.4780639,"Via Pian della Croce","6760"
"273","Fehraltorf","m",8.755505,47.3866248,"Grundstrasse 4","8320"
"274","Fiesch","m",8.1355669,46.4040003,"Furkastrasse 46","3984"
"275","Fislisbach","m",8.2908926,47.4363454,"Badenerstrasse 7d","5442"
"276","Flamatt","m",7.3191353,46.8896931,"Bernstrasse 36","3175"
"277","Flamatt - Bernstrasse 50","mgls",7.323263,46.8899632,"Bernstrasse 50","3175"
